"Coefficient","Gene","p.val.t.dist.wnlm.Q.*","p.val.perm.wnlm.Q.*","p.val.t.dist.logi.S.*","p.val.perm.logi.S.*","logi.S.fit.OK","Estimate.wnlm.Q","p.val.t.dist.wnlm.Q","p.val.perm.wnlm.Q","Estimate.logi.S","p.val.t.dist.logi.S","p.val.perm.logi.S"
"DxAFF","SNRPN","","",NA,NA,FALSE,-0.140640604265622,0.455576475912373,0.5212,NA,NA,NA
"DxAFF","KCNQ1OT1","","","","",TRUE,0.168581824866614,0.439692521569441,0.4076,0.394408009522447,0.202295919217896,0.1498
"DxAFF","ZDBF2","","",NA,NA,FALSE,-0.174733880645524,0.241630336350136,0.323,NA,NA,NA
"DxAFF","GRB10","","","","",TRUE,-0.0259860922742402,0.804413136649007,0.8386,-0.026124991333537,0.842358853998538,0.8444
"DxAFF","SNORD116-20","","",NA,NA,FALSE,0.129570269690047,0.734650079487335,0.7308,NA,NA,NA
"DxAFF","KCNK9","","","","",TRUE,-0.0361283851814464,0.783293071054089,0.8782,0.039786112073695,0.882253570986426,0.9334
"DxAFF","INPP5F","","",NA,NA,FALSE,0.00317521209316183,0.961694502717281,0.959,NA,NA,NA
"DxAFF","RP13-487P22.1","","",NA,NA,FALSE,-0.722018676742705,0.474719375475763,0.390160298417179,NA,NA,NA
"DxAFF","MEST","","","","",TRUE,0.0716563169839271,0.544663136658482,0.5064,0.00324826262111703,0.9688311512018,0.9634
"DxAFF","ZNF331","","",NA,NA,FALSE,0.0343058966616175,0.73517975880238,0.7224,NA,NA,NA
"DxAFF","hsa-mir-335","","","","",TRUE,-0.222259109074259,0.512032523679492,0.7286,-0.417345800319817,0.225319190270463,0.2834
"DxAFF","DIRAS3","","",NA,NA,FALSE,-1.20956694564018,0.310149002869119,0.0649271844660194,NA,NA,NA
"DxAFF","PWRN1","","","*","",TRUE,-0.47864136402789,0.0719882885181067,0.064,-0.543698573985091,0.035369278271269,0.0958
"DxAFF","IGF2","","","","",TRUE,-0.0727081615629381,0.631995205983662,0.6766,0.137597850478072,0.42893557157142,0.5704
"DxAFF","NLRP2","","",NA,NA,FALSE,0.182611904423805,0.250866842689983,0.4394,NA,NA,NA
"DxAFF","UBE3A","","","","",TRUE,-0.260951381133375,0.339118136927818,0.6416,0.110002813889151,0.573948546019459,0.7144
"RIN","MAGEL2","",NA,NA,NA,FALSE,0.0883520753323767,0.148747356206723,NA,NA,NA,NA
"RIN","TMEM261P1","**",NA,NA,NA,FALSE,-0.167509150037462,0.00120767615294794,NA,NA,NA,NA
